input_size,linear_search_time_sec,iterative_binary_time_sec,recursive_binary_time_sec
100,1.8397999838271063e-06,1.6293699900415959e-06,2.7927400287808266e-06
500,2.3829550009395462e-05,2.7564100219024113e-06,4.207120000501164e-06
1000,8.205406999877595e-05,4.179009961262636e-06,4.33940998846083e-06
5000,0.00011156439998558199,7.524839979851094e-06,5.1371699964875e-06
10000,0.0007391771099992183,6.122250006228569e-06,7.734249966233619e-06
50000,0.0009463467000068704,4.258789999767032e-06,6.185330025800795e-06
100000,0.00015557296998395032,6.592000004275178e-06,6.359470003189926e-06
500000,0.030237331739990624,4.524659989328938e-06,6.442880026042985e-06
1000000,0.05980289731001449,6.4566699984425215e-06,1.1842130006698426e-05
